song_title,artist
A Bar Song (Tipsy),Shaboozey
Die With A Smile,Lady Gaga & Bruno Mars
Birds Of A Feather,Billie Eilish
Espresso,Sabrina Carpenter
Lose Control,Teddy Swims
That's So True,Gracie Abrams
I Had Some Help,Post Malone Featuring Morgan Wallen
Taste,Sabrina Carpenter
Beautiful Things,Benson Boone
Love Somebody,Morgan Wallen
"Good Luck, Babe!",Chappell Roan
Too Sweet,Hozier
APT.,ROSE & Bruno Mars
Timeless,The Weeknd & Playboi Carti
Please Please Please,Sabrina Carpenter
Not Like Us,Kendrick Lamar
Sticky,"Tyler, The Creator Featuring GloRilla, Sexyy Red & Lil Wayne"
I Am Not Okay,Jelly Roll
Lies Lies Lies,Morgan Wallen
Stargazing,Myles Smith
Hot To Go!,Chappell Roan
Sailor Song,Gigi Perez
St. Chroma,"Tyler, The Creator Featuring Daniel Caesar"
Tu Boda,Oscar Maydon & Fuerza Regida
Wildflower,Billie Eilish
Whatchu Kno About Me,GloRilla & Sexyy Red
"I Love You, I'm Sorry",Gracie Abrams
Million Dollar Baby,Tommy Richman
High Road,Zach Bryan
Bed Chem,Sabrina Carpenter
The Door,Teddy Swims
Miles On It,Marshmello & Kane Brown
Pink Skies,Zach Bryan
High Road,Koe Wetzel & Jessie Murph
You Look Like You Love Me,Ella Langley Featuring Riley Green
TGIF,GloRilla
Cowgirls,Morgan Wallen Featuring ERNEST
Last Christmas,Wham!
Ain't No Love In Oklahoma,Luke Combs
Wind Up Missin' You,Tucker Wetmore
I Can Do It With A Broken Heart,Taylor Swift
Austin,Dasha
"Darling, I","Tyler, The Creator Featuring Teezo Touchdown"
Pink Pony Club,Chappell Roan
Who,Jimin
Like Him,"Tyler, The Creator Featuring Lola Young"
Help Me,Real Boston Richey
Rah Tah Tah,"Tyler, The Creator"
This World's A Giant,Zach Bryan
Kehlani,Jordan Adetunji
Hard Fought Hallelujah,Brandon Lake
Dancing In The Flames,The Weeknd
Beautiful As You,Thomas Rhett
Dos Dias,Tito Double P & Peso Pluma
It's Ok I'm Ok,Tate McRae
Disease,Lady Gaga
25,Rod Wave
I Never Lie,Zach Top
Residuals,Chris Brown
Thought I Was Dead,"Tyler, The Creator Featuring ScHoolboy Q & Santigold"
Heart Of A Woman,Summer Walker
+57,"Karol G, Feid & DFZM Featuring Ovy On The Drums, J Balvin, Maluma, Ryan Castro & Blessd"
I'm Gonna Love You,Cody Johnson & Carrie Underwood
Juno,Sabrina Carpenter
Noid,"Tyler, The Creator"
Shake Dat Ass (Twerk Song),BossMan Dlow
Close To You,Gracie Abrams
No One Noticed,The Marias
28,Zach Bryan
Think I'm In Love With You,Chris Stapleton
Diet Pepsi,Addison Rae
Bad Dreams,Teddy Swims
Guy For That,Post Malone Featuring Luke Combs
Liar,Jelly Roll
El Lokeron,Tito Double P
La Patrulla,Peso Pluma & Neton Vega
No Pole,Don Toliver
For Me,Loe Shimmy & Brent Faiyaz
I Luv Her,GloRilla & T-Pain
Apple,Charli xcx
New Drop,Don Toliver
Good Graces,Sabrina Carpenter
Him All Along,Gunna
Or What?,NLE Choppa & 41
Mamushi,Megan Thee Stallion Featuring Yuki Chiba
Am I Okay?,Megan Moroney
Lonely Road,mgk & Jelly Roll
Nel,Fuerza Regida
Balloon,"Tyler, The Creator Featuring Doechii"
Judge Judy,"Tyler, The Creator"
Wondering Why,The Red Clay Strays
On One Tonight,Gunna
Brokey,Latto
Take Your Mask Off,"Tyler, The Creator Featuring Daniel Caesar & Latoiya Williams"
Thick Of It,KSI Featuring Trippie Redd
Prove It,21 Savage & Summer Walker
4x4xU,Lainey Wilson
I Ain't Sayin',Jordan Davis
The Largest,BigXthaPlug
Criminals,Meghan Trainor
